Source	Target
慈玄法师	Master Cixuan
净光法师	Master Jingguang
寮房	monastic quarters
功德箱	merit box
玉镯	jade bracelet
耳坠	earrings
金钗	golden hairpin
银镯	silver bracelet
王右丞	Wang Youcheng (Wang Wei)
《竹里馆》	"Bamboo Lodge"
小楷	small regular script
废水盂	waste water bowl
茶粉盒	tea powder box
小木勺	small wooden spoon
剃度出家	tonsure and become a nun
施主	donor / patron
阿弥陀佛	Amitabha
佛珠	prayer beads
布帘	cloth curtain
山洞	cave
石门	stone gate
书法	calligraphy
唐诗	Tang poetry
圆润饱满	rounded and full
风骨	character / artistic integrity
功德箱	merit box
一诺千金	a promise worth a thousand gold
解诗	interpret poetry
茶桌	tea table
茶具	tea utensils
温盏	warm the bowl
茶筅	tea whisk
击拂	to whisk
茶汤	tea liquor
七次注汤	seven infusions
三次注汤	three infusions
