Source	Target
鼓词	drum verse / ballad
负鼓盲翁	blind drummer
蔡邕	Cai Yong
蔡伯喈	Cai Bojie
陈世美	Chen Shimei
陈浩宇	Chen Haoyu
夏果	Xia Guo
阳春白雪	High art / refined art
下里巴人	Lowbrow / Popular and unrefined
说话艺术	storytelling art
勾栏瓦肆	theaters and entertainment quarters
苦蕨	Kujue
冤家路窄	enemies meeting on a narrow road—what fate
鼓子词	drum verse / drum-ballad (variant of 鼓词)
丫鬟	maid
壮汉	burly man / thug
打手	thug / henchman
磕头	kowtow
老鼠屎	rat dropping (idiom 老鼠屎搅坏一锅汤: one bad apple spoils the barrel)
话本	storybook (free rendering of Huaben / Vernacular short story)
一两（银子）	one tael (of silver)
